,date_sold,Date_Sold_id
6118,2021-02-28,1122
6119,2021-03-13,1123
6149,2021-03-14,1124
6151,2021-03-15,1125
6160,2021-03-16,1126
6167,2021-03-17,1127
6178,2021-03-18,1128
6188,2021-03-19,1129
6204,2021-03-20,1130
6236,2021-03-21,1131
6238,2021-03-22,1132
6247,2021-03-23,1133
6258,2021-03-24,1134
6263,2021-03-25,1135
6279,2021-03-26,1136
6296,2021-03-27,1137
6349,2021-03-28,1138
6355,2021-03-29,1139
6372,2021-03-30,1140
6384,2021-03-31,1141
6402,2021-04-13,1142
6411,2021-04-14,1143
6427,2021-04-15,1144
6433,2021-04-16,1145
6442,2021-04-17,1146
6469,2021-04-18,1147
6470,2021-04-19,1148
6482,2021-04-20,1149
6496,2021-04-21,1150
6511,2021-04-22,1151
6521,2021-04-23,1152
6532,2021-04-24,1153
6572,2021-04-26,1154
6578,2021-04-27,1155
6590,2021-04-28,1156
6598,2021-04-29,1157
6610,2021-04-30,1158
6629,2021-05-13,1159
6641,2021-05-14,1160
6656,2021-05-15,1161
6693,2021-05-16,1162
6694,2021-05-17,1163
6701,2021-05-18,1164
6716,2021-05-19,1165
